Country,ThsdUSD1000,Year,Code,Additional
ავსტრია,29.55,1995,4სხვა ქვეყნები,საქართველოს ექსპორტი ქვეყნების მიხედვით
ბელგია,37.1,1995,4სხვა ქვეყნები,წყარო: სსიპ საქართველოს ფინანსთა სამინისტროს შემოსავლების სამსახური; 
ბულგარეთი,5657.429,1995,4სხვა ქვეყნები," სს ,,საქართველოს სახელმწიფო ელექტროსისტემა”; "
გერმანია,1180.4475,1995,4სხვა ქვეყნები,სს  „ელექტროენერგეტიკული სისტემის კომერციული ოპერატორი“.
დანია,287.199,1995,4სხვა ქვეყნები,"შპს ,,საქართველოს გაზის ტრანსპორტირების კომპანია”. "
ესპანეთი,13.5,1995,4სხვა ქვეყნები,0.0 მაჩვენებლის სიდიდე უმნიშვნელოა.
ესტონეთი,131.658,1995,4სხვა ქვეყნები,პირობითი აღნიშვნები:
იტალია,2758.37,1995,4სხვა ქვეყნები,მოვლენა არ არსებობს.
ლატვია,26.579,1995,4სხვა ქვეყნები,(ათასი აშშ დოლარი)
ლიეტუვა (ლიტვა),85.362,1995,4სხვა ქვეყნები,
ნიდერლანდები,1134.973,1995,4სხვა ქვეყნები,
პოლონეთი,94.086,1995,4სხვა ქვეყნები,
პორტუგალია,106.879,1995,4სხვა ქვეყნები,
საბერძნეთი,369.342,1995,4სხვა ქვეყნები,
საფრანგეთი,892.43,1995,4სხვა ქვეყნები,
ჩეხეთი,3.6,1995,4სხვა ქვეყნები,
აზერბაიჯანი,13384.3956,1995,3აზერბაიჯანი,
ბელარუსი,2134.1,1995,4სხვა ქვეყნები,
თურქმენეთი,6536.13,1995,4სხვა ქვეყნები,
მოლდოვა,148.969,1995,4სხვა ქვეყნები,
რუსეთი,48633.9156,1995,2რუსეთი,
სომხეთი,18040.0838,1995,4სხვა ქვეყნები,
ტაჯიკეთი,251.548,1995,4სხვა ქვეყნები,
უზბეკეთი,800.885,1995,4სხვა ქვეყნები,
უკრაინა,5773.8585,1995,4სხვა ქვეყნები,
