Year,HS,Country,ThsdUSD1000,Code,CodeRussia
2009,მინერალური პროდუქტები,004 ავღანეთი,0.34,t1,1სხვა
2009,"პლასტმასები, რეზინი და მათი ნაწარმი",004 ავღანეთი,2.32,t2,1სხვა
2009,ტექსტილის მასალები და ნაწარმი,004 ავღანეთი,1.57,t2,1სხვა
2009,"ფეხსაცმელი, ქოლგები, ხელჯოხები და სხვა ნაწარმი",004 ავღანეთი,1.9,t2,1სხვა
2009,არაძვირფასი ლითონები და მათი ნაწარმი,004 ავღანეთი,0.39,t1,1სხვა
2009,ელექტროტექნიკური მანქანა-მოწყობილობები და მათი ნაწილები,004 ავღანეთი,213.36,t2,1სხვა
2009,მიწისზედა სატრანსპორტო საშუალებები და მათი ნაწილები,004 ავღანეთი,23.5,t1,1სხვა
2009,"ოპტიკური, საზომ-საკონტროლო, სამედიცინო, მუსიკალური ინსტრუმენტები და მათი ნაწილები",004 ავღანეთი,7.75,t2,1სხვა
2010,მინერალური პროდუქტები,004 ავღანეთი,1,t1,1სხვა
2010,ქიმიური და ფარმაცევტული პროდუქცია,004 ავღანეთი,62.59,t1,1სხვა
2010,"ტყავი, ბეწვი და მათი ნაწარმი",004 ავღანეთი,0.01,t2,1სხვა
2010,ბოჭკოვანი და ცელულოზური მასალების ნაწარმი,004 ავღანეთი,6.84,t2,1სხვა
2010,ტექსტილის მასალები და ნაწარმი,004 ავღანეთი,1.39,t2,1სხვა
2010,"ფეხსაცმელი, ქოლგები, ხელჯოხები და სხვა ნაწარმი",004 ავღანეთი,0.42,t2,1სხვა
2010,არაძვირფასი ლითონები და მათი ნაწარმი,004 ავღანეთი,42.53,t1,1სხვა
2010,ელექტროტექნიკური მანქანა-მოწყობილობები და მათი ნაწილები,004 ავღანეთი,19.41,t2,1სხვა
2010,მიწისზედა სატრანსპორტო საშუალებები და მათი ნაწილები,004 ავღანეთი,94.05,t1,1სხვა
2011,ქიმიური და ფარმაცევტული პროდუქცია,004 ავღანეთი,212.01,t1,1სხვა
2011,"პლასტმასები, რეზინი და მათი ნაწარმი",004 ავღანეთი,210.27,t2,1სხვა
2011,"ტყავი, ბეწვი და მათი ნაწარმი",004 ავღანეთი,178.64,t2,1სხვა
