n,Country,Sub_group,Group,Year,Month,Trips,TotalTripsYear,Type of Trips
169,Russia,Russia,Russia,2019,1,85922,7725774,International Visitor Trips
170,Russia,Russia,Russia,2019,2,69675,7725774,International Visitor Trips
171,Russia,Russia,Russia,2019,3,98480,7725774,International Visitor Trips
172,Russia,Russia,Russia,2019,4,113138,7725774,International Visitor Trips
173,Russia,Russia,Russia,2019,5,172217,7725774,International Visitor Trips
174,Russia,Russia,Russia,2019,6,152155,7725774,International Visitor Trips
175,Russia,Russia,Russia,2019,7,159063,7725774,International Visitor Trips
176,Russia,Russia,Russia,2019,8,207899,7725774,International Visitor Trips
177,Russia,Russia,Russia,2019,9,147425,7725774,International Visitor Trips
178,Russia,Russia,Russia,2019,10,118252,7725774,International Visitor Trips
179,Russia,Russia,Russia,2019,11,82029,7725774,International Visitor Trips
180,Russia,Russia,Russia,2019,12,65303,7725774,International Visitor Trips
2475,Russia,Russia,Russia,2021,1,1916,1721242,International Visitor Trips
2834,Russia,Russia,Russia,2011,1,13108,2711697,International Visitor Trips
2835,Russia,Russia,Russia,2011,2,8847,2711697,International Visitor Trips
2836,Russia,Russia,Russia,2011,3,9581,2711697,International Visitor Trips
2837,Russia,Russia,Russia,2011,4,10421,2711697,International Visitor Trips
2838,Russia,Russia,Russia,2011,5,12660,2711697,International Visitor Trips
2839,Russia,Russia,Russia,2011,6,12174,2711697,International Visitor Trips
2840,Russia,Russia,Russia,2011,7,23322,2711697,International Visitor Trips
2841,Russia,Russia,Russia,2011,8,42784,2711697,International Visitor Trips
2842,Russia,Russia,Russia,2011,9,29796,2711697,International Visitor Trips
2843,Russia,Russia,Russia,2011,10,26146,2711697,International Visitor Trips
2844,Russia,Russia,Russia,2011,11,18391,2711697,International Visitor Trips
2845,Russia,Russia,Russia,2011,12,13064,2711697,International Visitor Trips
5294,Russia,Russia,Russia,2012,1,18031,4105874,International Visitor Trips
5295,Russia,Russia,Russia,2012,2,10957,4105874,International Visitor Trips
5296,Russia,Russia,Russia,2012,3,14320,4105874,International Visitor Trips
5297,Russia,Russia,Russia,2012,4,21715,4105874,International Visitor Trips
5298,Russia,Russia,Russia,2012,5,24832,4105874,International Visitor Trips
5299,Russia,Russia,Russia,2012,6,30193,4105874,International Visitor Trips
5300,Russia,Russia,Russia,2012,7,52913,4105874,International Visitor Trips
5301,Russia,Russia,Russia,2012,8,84370,4105874,International Visitor Trips
5302,Russia,Russia,Russia,2012,9,54466,4105874,International Visitor Trips
5303,Russia,Russia,Russia,2012,10,42364,4105874,International Visitor Trips
5304,Russia,Russia,Russia,2012,11,34003,4105874,International Visitor Trips
5305,Russia,Russia,Russia,2012,12,22163,4105874,International Visitor Trips
7754,Russia,Russia,Russia,2020,1,86884,1513421,International Visitor Trips
7755,Russia,Russia,Russia,2020,2,52258,1513421,International Visitor Trips
7756,Russia,Russia,Russia,2020,3,32981,1513421,International Visitor Trips
7757,Russia,Russia,Russia,2020,4,3778,1513421,International Visitor Trips
7758,Russia,Russia,Russia,2020,5,3777,1513421,International Visitor Trips
7759,Russia,Russia,Russia,2020,6,3457,1513421,International Visitor Trips
