region,municipality,students,year,metadata,city
თბილისი,თბილისი,170814,2006,"მოსწავლეთა რიცხოვნობა საჯარო და კერძო ზოგადსაგანმანათლებლო დაწესებულებებში მუნიციპალიტეტების მიხედვით                                                                                                                                                                                                  (სასწავლო წლის დასაწყისისათვის, კაცი)",დედაქალაქი
აფხაზეთის არ,აფხაზეთი,3233,2006,,აფხაზეთი
აჭარის არ,ბათუმი,22611,2006,,დიდი ქალაქები
აჭარის არ,ქედა,3270,2006,,მაღალმთიანი
აჭარის არ,ქობულეთი,13406,2006,,10 ქალაქები
აჭარის არ,შუახევი,3818,2006,,მაღალმთიანი
აჭარის არ,ხელვაჩაური,13141,2006,,10 ქალაქები
აჭარის არ,ხულო,6303,2006,,მაღალმთიანი
გურია,ლანჩხუთი,4965,2006,,მუნიციპალიტეტები
გურია,ოზურგეთი,10738,2006,,10 ქალაქები
გურია,ჩოხატაური,3339,2006,,პატარა ქალაქები
იმერეთი,ქუთაისი,28862,2006,,დიდი ქალაქები
იმერეთი,ტყიბული,3331,2006,,პატარა ქალაქები
იმერეთი,წყალტუბო,8222,2006,,მუნიციპალიტეტები
იმერეთი,ჭიათური,7416,2006,,მუნიციპალიტეტები
იმერეთი,ბაღდათი,3632,2006,,პატარა ქალაქები
იმერეთი,ვანი,4237,2006,,პატარა ქალაქები
იმერეთი,ზესტაფონი,10573,2006,,10 ქალაქები
იმერეთი,თერჯოლა,5485,2006,,მუნიციპალიტეტები
იმერეთი,სამტრედია,8382,2006,,მუნიციპალიტეტები
იმერეთი,საჩხერე,6310,2006,,მუნიციპალიტეტები
იმერეთი,ხარაგაული,3315,2006,,პატარა ქალაქები
იმერეთი,ხონი,3998,2006,,პატარა ქალაქები
კახეთი,ახმეტა,5912,2006,,მუნიციპალიტეტები
კახეთი,გურჯაანი,8403,2006,,მუნიციპალიტეტები
კახეთი,დედოფლისწყარო,3952,2006,,პატარა ქალაქები
კახეთი,თელავი,9516,2006,,10 ქალაქები
კახეთი,ლაგოდეხი,7608,2006,,მუნიციპალიტეტები
კახეთი,საგარეჯო,7750,2006,,მუნიციპალიტეტები
კახეთი,სიღნაღი,5082,2006,,მუნიციპალიტეტები
კახეთი,ყვარლი,5284,2006,,მუნიციპალიტეტები
მცხეთა–მთიანეთი,ახალგორი,1193,2006,,პატარა ქალაქები
მცხეთა–მთიანეთი,დუშეთი,4405,2006,,მაღალმთიანი
მცხეთა–მთიანეთი,თიანეთი,1694,2006,,პატარა ქალაქები
მცხეთა–მთიანეთი,მცხეთა,8489,2006,,მუნიციპალიტეტები
მცხეთა–მთიანეთი,ყაზბეგი,667,2006,,მაღალმთიანი
რაჭა-ლეჩხუმი და ქვემო სვანეთი,ამბროლაური,1553,2006,,მაღალმთიანი
რაჭა-ლეჩხუმი და ქვემო სვანეთი,ლენტეხი,1063,2006,,მაღალმთიანი
რაჭა-ლეჩხუმი და ქვემო სვანეთი,ონი,853,2006,,მაღალმთიანი
რაჭა-ლეჩხუმი და ქვემო სვანეთი,ცაგერი,1666,2006,,მაღალმთიანი
სამეგრელო–ზემო სვანეთი,ფოთი,6878,2006,,მუნიციპალიტეტები
სამეგრელო–ზემო სვანეთი,აბაშა,3902,2006,,პატარა ქალაქები
სამეგრელო–ზემო სვანეთი,ზუგდიდი,17531,2006,,დიდი ქალაქები
სამეგრელო–ზემო სვანეთი,მარტვილი,5947,2006,,მუნიციპალიტეტები
სამეგრელო–ზემო სვანეთი,მესტია,2317,2006,,მაღალმთიანი
სამეგრელო–ზემო სვანეთი,სენაკი,6520,2006,,მუნიციპალიტეტები
სამეგრელო–ზემო სვანეთი,ჩხოროწყუ,3560,2006,,პატარა ქალაქები
სამეგრელო–ზემო სვანეთი,წალენჯიხა,5209,2006,,მუნიციპალიტეტები
სამეგრელო–ზემო სვანეთი,ხობი,4905,2006,,მუნიციპალიტეტები
სამცხე–ჯავახეთი,ადიგენი,3219,2006,,პატარა ქალაქები
სამცხე–ჯავახეთი,ასპინძა,2103,2006,,პატარა ქალაქები
სამცხე–ჯავახეთი,ახალქალაქი,9099,2006,,მაღალმთიანი
სამცხე–ჯავახეთი,ახალციხე,7441,2006,,მუნიციპალიტეტები
